"","x"
"1","split"
"2","stag leap"
"3","floor slide"
"4","attitude leap"
"5","stag leap"
"6","leap turn"
"7","jump in second"
"8","chaines"
"9","pas de chat"
"10","stag leap"
"11","swing down and up"
"12","back fall"
"13","crouch jump"
"14","chasse"
"15","swing down and up"
"16","knee spin"
"17","knee spin"
"18","jump in first"
"19","saut de chat"
"20","battement fouette"
"21","L stand"
"22","knee spin"
"23","triplet turn"
"24","roll"
"25","floor leg extension"
"26","pirouette"
"27","axel"
"28","attitude leap"
"29","pirouette"
"30","swing down and up"
"31","sit"
"32","roll"
"33","jump in second"
"34","graham arch"
"35","pirouette"
"36","side fall"
"37","jete"
"38","jump in second"
"39","fall"
"40","graham arch"
"41","roll"
"42","pirouette"
"43","triplet turn"
"44","back fall"
"45","chasse"
"46","pas de chat"
"47","contraction"
"48","backwards roll"
