category	step
floor work	back fall
floor work	floor leg extension
floor work	floor slide
floor work	ping
floor work	roll
floor work	side fall
floor work	sit
jump	battement fouette
jump	changement
jump	jump in first
jump	jump in second
leap	attitude leap
leap	jete
leap	saut de chat
leap	stag leap
standing	leg extension
standing	side layout
turn	chaines
turn	compass turn
turn	fouette turn
turn	pirouette
turn	triplet turn
turning jump	axel
turning jump	leap turn
foot work	chasse
jump	crouch jump
foot work	fall
floor work	kneel or crouch
upper body	L stand
foot work	pas de bourree
jump	pas de chat
turn	piquee
arm	reach
floor work	split
floor work	knee spin
floor work	backwards roll
floor work	spiral fall
foot work	jazz slide
standing	contraction
floor work	graham arch
arm	gesture
standing	swing down and up
turn	piquee attitude
standing	fan kick
